Unique ID,Sub Variety,ITEM NAME
Bp517,Lal 386 Steam,WEIGHT LOSS
Bp518,Supri White,FINISHED GOODS
Bp519,Supri White,B-Q
Bp520,Supri White,B-1
Bp521,Supri White,B-2
Bp522,Supri White,B-2 CSR
Bp523,Supri White,B-3
Bp524,Supri White,CSR
Bp525,Supri White,PADDY
Bp526,Supri White,CHOBA
Bp527,Supri White,RICE POLISH
Bp528,Supri White,DUST
Bp529,Supri White,EMPTY BAGS WEIGHT
Bp530,Supri White,EXCESS EXPORT
Bp531,Supri White,WEIGHT LOSS
Bp532,Supri Sela,FINISHED GOODS
Bp533,Supri Sela,B-Q
Bp534,Supri Sela,B-1
Bp535,Supri Sela,B-2
Bp536,Supri Sela,B-2 CSR
Bp537,Supri Sela,B-3
Bp538,Supri Sela,CSR
Bp539,Supri Sela,PADDY
Bp540,Supri Sela,CHOBA
Bp541,Supri Sela,RICE POLISH
Bp542,Supri Sela,DUST
Bp543,Supri Sela,EMPTY BAGS WEIGHT
Bp544,Supri Sela,EXCESS EXPORT
Bp545,Supri Sela,WEIGHT LOSS
Bp546,Supri Steam,FINISHED GOODS
Bp547,Supri Steam,B-Q
Bp548,Supri Steam,B-1
Bp549,Supri Steam,B-2
Bp550,Supri Steam,B-2 CSR
Bp551,Supri Steam,B-3
Bp552,Supri Steam,CSR
Bp553,Supri Steam,PADDY
Bp554,Supri Steam,CHOBA
Bp555,Supri Steam,RICE POLISH
Bp556,Supri Steam,DUST
Bp557,Supri Steam,EMPTY BAGS WEIGHT
Bp558,Supri Steam,EXCESS EXPORT
Bp559,Supri Steam,WEIGHT LOSS
Bp560,Super Brown,FINISHED GOODS
Bp561,Super Brown,B-Q
Bp562,Super Brown,B-1
Bp563,Super Brown,B-2
Bp564,Super Brown,B-2 CSR
Bp565,Super Brown,B-3
Bp566,Super Brown,CSR
Bp567,Super Brown,PADDY
Bp568,Super Brown,CHOBA
Bp569,Super Brown,RICE POLISH
Bp570,Super Brown,DUST
Bp571,Super Brown,EMPTY BAGS WEIGHT
Bp572,Super Brown,EXCESS EXPORT
Bp573,Super Brown,WEIGHT LOSS
Bp574,Super Brown Sela,FINISHED GOODS
Bp575,Super Brown Sela,B-Q
Bp576,Super Brown Sela,B-1
Bp577,Super Brown Sela,B-2
Bp578,Super Brown Sela,B-2 CSR
Bp579,Super Brown Sela,B-3
Bp580,Super Brown Sela,CSR
Bp581,Super Brown Sela,PADDY
Bp582,Super Brown Sela,CHOBA
Bp583,Super Brown Sela,RICE POLISH
Bp584,Super Brown Sela,DUST
Bp585,Super Brown Sela,EMPTY BAGS WEIGHT
